Item_Permanent_Shelving_Location,Item_Call_Number,Author_Name,Title,Material_Format,OCLC_Number,Title_ISBN,Publication_Date,Item_Barcode,LHR_Item_Cost,LHR_Item_Nonpublic_Note,LHR_Item_Public_Note
recommendation area,TR diss 5655,"Parlevliet, Patricia Pauline.",Residual strains in thick thermoplastic composites :an experimental approach.,Book_thsis,839642244,9461130058^9789461130051,2010,5131539,,,
recommendation area,TR diss 5787,"Sonneveldt, Lars.",Adaptive backstepping flight control for modern fighter aircraft.,Book_thsis,839642296,9085705738^9789085705734,2010,5132173,,,
recommendation area,TR diss 5806,"Omic, Jasmina.","Epidemics in networks :modeling, optimization and security games.",Book_thsis,839642314,9079787280^9789079787289,2010,5131720,,,
recommendation area,TR diss 5975,"Maris, A.J.A. van.",Metabolic engineering of pyruvate metabolism in Saccharomyces cerevisiae.,Book_thsis,840385977,909018290X^9789090182902,2004,3827474,,,
recommendation area,TR diss 6359,"Dijk, Hijlke Watze.",Democratic processing :mastering the complexity of communicating systems.,Book_thsis,840387206,9064646600^9789064646607,2004,5131747,,,
recommendation area,Pro,"Ruijgrok, G.J.J.",Elements of aviation acoustics.,Book,840387433,9040725608^9789040725609,2004,3848359,,ELC204,
recommendation area,TR diss 5238,"Gautama, Hasyim.",A probabilistic approach to symbolic performance modeling of parallel systems.,Book_thsis,840387981,9085590248^9789085590248,2004,5131422,,,
recommendation area,TR diss 4411,"Stojanovic, Zoran.",A method for component-based and service-oriented software systems engineering.,Book_thsis,840390619,9090191003^9789090191003,2005,5131784,,,
recommendation area,TR diss 6579,"Cui, Haiyang,",A new numerical model for simulating the propagation of and inundation by tsunami waves /,Book_thsis,840390641,9065623167^9789065623164,2013,5131289,,,
recommendation area,TR diss 4542,"Kavelin, Kirill Gennadjevich.",Investigation of natural fiber composites heterogeneity with respect to automotive structures.,Book_thsis,840391844,9090200363^9789090200361,2005,5131511,,,
recommendation area,TR diss 4591,"Vormer, Frizo Jan-Peter.",Theoretical and operational aspects of optimal airport arival trajectories.,Book_thsis,840391884,9053350756^9789053350751,2005,5132138,,,
recommendation area,TR diss 4450,"Mesina, Marian Bogdan.","Sensors for quality control of materials, products and processes.",Book_thsis,840392092,9090193952^9789090193953,2005,5131508,,,
recommendation area,TR diss 4441,"Georgescu, Diana Elena.",Prediction of infinite dilution activity coefficients of aroma molecules in aqueous systems :a quantum chemical approach.,Book_thsis,840392100,909019410X^9789090194103,2005,5131865,,,
recommendation area,TR diss 4422,"Lhomme, Tanguy Pierre Yves.",Initiation of hydraulic fractures in natural sandstones.,Book_thsis,840392178,9090193006^9789090193007,2005,5132007,,,
recommendation area,TR diss 4467,"Michler, Christian.",Efficient numerical methods for fluid-structure interaction.,Book_thsis,840392506,9090195335^9789090195339,2005,5131408,,,
recommendation area,TR diss 4463,"Setoodeh, Shahriar.",Optimal design of variable-stiffness fiber-reinforced composites using cellular automata.,Book_thsis,840392711,9056230794^9789056230791,2005,5131867,,,
recommendation area,TR diss 4475,"Slingerland, Ronald.","Prediction of tail downwash, ground effect and minimum unstick speed of jet transport aircraft.",Book_thsis,840392713,9090195513^9789090195513,2005,5132135,,,
recommendation area,TR diss 4520,"Serebriakov, Alexander Georgievich.",Optimization and analysis of deep-UV imaging systems.,Book_thsis,840392756,9090196722^9789090196725,2005,5131322,,,
recommendation area,TR diss 4497,"Boer, Viktor Marius.",Physiological and transcriptional responses of Saccharomyces cerevisiae to nutrient limitation.,Book_thsis,840392757,9090196102^9789090196107,2005,5131868,,,
recommendation area,TR diss 4552,"Heikkinen, Johanna Maaria.",Characterisation of supplementary fuels for co-combustion with pulverised coal.,Book_thsis,840393140,952919224X^9789529192243,2005,5132136,,,
recommendation area,TR diss 4526,"Visser, Clemens Alfonsus.",Thick-bedded deep-marine sandstones in outcrop and subsurface :sequence architecture and reservoir modelling aspects.,Book_thsis,840393386,9064642729^9789064642722,2005,5132010,,,
recommendation area,TR diss 4554,"Hamer, Wouter Jan.",Polypyrrole electrochemistry.,Book_thsis,840393579,909019603X^9789090196039,2005,5131512,,,
recommendation area,TR diss 4568,"Hartmann, Hugo.",Detailed simulations of liquid and solid-liquid mixing :turbulent agitated flow and mass transfer.,Book_thsis,840393667,9064642346^9789064642340,2005,5131412,,,
recommendation area,TR diss 4547,"Horik, Marinus Petrus Maria van.",Permanent pixels :building blocks for the longevity of digital surrogates of historical photographs.,Book_thsis,840393669,9069844621^9789069844626,2005,5131323,,,
recommendation area,TR diss 4644,"Lubelli, Barbara Antonietta.",Sodium chloride damage to porous building materials.,Book_thsis,840393919,9090203435^9789090203430,2006,5131518,,,
recommendation area,TR diss 4592,"Nilsson, Mans Andreas.","Connecting reason to power :assessments, learning, and environmental policy integration in Swedish energy policy.",Book_thsis,840393988,9197523852^9789197523851,2005,5131788,,,
recommendation area,TR diss 4612,"Hadziabdic, Muhamed.","LES, RANS and combined simulation of impinging flows and heat transfers.",Book_thsis,840393994,9090152334^9789090152332,2005,5131415,,,
recommendation area,TR diss 4638,"Koek, Wouter Dick.",Holographic particle image velocimetry using Bacteriorhodopsin.,Book_thsis,840394000,907831401X^9789078314011,2006,5131324,,,
recommendation area,TR diss 4674,"Avoort, Casper van der.",Optical aperture synthesis :a comparison of techniques for wide-field interferometric imaging.,Book_thsis,840394074,9078314036^9789078314035,2006,3862037,,,
recommendation area,TR diss 4664,"Sobera, Michal Piotr.","Flow, heat and mass transfer through protective textiles.",Book_thsis,840394239,8386746599^9788386746590,2006,5131254,,,
recommendation area,TR diss 4625,"Coman, Cristian Ioan.",Shared aperture array antennas composed of differently sized elements arranged in sparse sub-arrays.,Book_thsis,840394445,9076928096^9789076928098,2006,5131672,,,
recommendation area,TR diss 4584,"Zwartjes, Paul Maarten.",Fourier reconstruction with sparse inversion.,Book_thsis,840394556,9085591139^9789085591139,2005,5131414,,,
recommendation area,TR diss 4550,"Mashego, Mlawule Reginald.",Robust experimental methods to study in-vivo pre-steady state kinetics of primary metabolism in Saccharomyces cerevisiae.,Book_thsis,840394562,9090200606^9789090200606,2005,5131869,,,
recommendation area,TR diss 5161,"Zijlstra, Hielkje.",Bouwen in Nederland 1940 - 1970 :continuiteit + veranderbaarheid = duurzaamheid,Book_thsis,840394590,9052693331^9789052693330,2006,5007005,,,
recommendation area,TR diss 4677,"Janssen, Michiel Hubertus Arnold.",Properties of immobilised penicillin G acylase in beta-lactam antibiotic synthesis.,Book_thsis,840394709,9090207546^9789090207544,2006,5131981,,,
recommendation area,TR diss 4610,"Randell, Christian Eugene.",Subsurface fatigue crack growth in glare fibre metal laminates.,Book_thsis,840395062,9081025716^9789081025713,2005,5131514,,,
recommendation area,TR diss 4621,"Amisigo, Barnabas Akurigo.",Modelling riverflow in the Volta Basin of West Africa :a data-driven framework.,Book_thsis,840395106,3865377017^9783865377012,2006,5132013,,,
recommendation area,TR diss 4618,"Landschoot, Nitte van.","Synthesis and characterization of inverse spinels, intercalation materials for Li-ion batteries.",Book_thsis,840395107,9090202617^9789090202617,2006,5131515,,,
recommendation area,TR diss 4660,"Kroes, Remco.",Precise relative positioning of formation flying spacecraft using gps.,Book_thsis,840395120,9085591503^9789085591504,2006,5132139,,,
recommendation area,TR diss 4643,"Dupain, Xander.",Fluid catalytic cracking :feedstocks and reaction mechanism.,Book_thsis,840395129,9090204172^9789090204178,2006,5131871,,,
recommendation area,TR diss 4655,"Vuralhan, Zeynep.",Engineering of aromatic amino acid metabolism in Saccharomyces cerevisiae.,Book_thsis,840395149,9090205713^9789090205717,2006,5131873,,,
recommendation area,TR diss 4691,"Kuijper, Sipko Maarten.",Engineering of Saccharomyces cerevisiae for the production of fuel ethanol from xylose.,Book_thsis,840395353,9064640149^9789064640148,2006,5132140,,,
recommendation area,TR diss 5197,"Bruijne, Markus Leonard Christiaan.",Networked reliability :Institutional fragmentation and the reliability of service provision in critical infrastructures.,Book_thsis,840395448,9056381512^9789056381516,2006,5131799,,,
recommendation area,TR diss 4734,"Wolf, Karl-Heinz Abraham Adolf.",The interaction between underground coal fires and their roof rocks.,Book_thsis,840396089,9090209395^9789090209395,2006,3862046,,,
recommendation area,Pro,"Torenbeek, Egbert.","Synthesis of subsonic airplane design :an introduction to the peliminary design of subsonic general aviation and transport aircraft, with emphasis on layout, aerodynamic design, propulsion and performance.",Book,840396109,9024727243^9789024727247,1996,5001983,,QRD196,
recommendation area,TR diss 4659,"Smith, Ali.",Recovery and recrystallization in C-Mn steels following hot deformation.,Book_thsis,840396534,9077172203^9789077172209,2006,5131519,,,
recommendation area,TR diss 5310,"Bodega, Riccardo.",Space charge accumulation in polymeric high voltage DC cable systems.,Book_thsis,840396711,9085592283^9789085592280,2006,5131526,,,
recommendation area,TR diss 4797,"Djapic, Relja.",Synchronization and packet separation in wireless ad-hoc networks.,Book_thsis,840396723,9090213562^9789090213569,2006,5131675,,,
recommendation area,TR diss 4646,"Medani, Tarig Obeid.",Design principles of surfacings on orthotropic steel bridge decks.,Book_thsis,840396889,9090204784^9789090204789,2006,5131635,,,
recommendation area,TR diss 4823,"Nair, Deepa Gopalakrishnan.",Sustainable-affordable housing for the poor in Kerala.,Book_thsis,840396955,9090213953^9789090213958,2006,5132238,,,
recommendation area,TR diss 5473,"Hollander, Richard Jacobus Maria den.",Random sampling methods for two-view geometry estimation.,Book_thsis,840397542,9090218394^9789090218397,2007,5131431,,,
recommendation area,TR diss 5475,"Muniafu, Simaati Mwenya.",Developing ict-enabled services in transition countries :a studio-based approach for logistics brokering.,Book_thsis,840397679,9056381784^9789056381783,2007,5131814,,,
recommendation area,TR diss 4615,"Stec, Wojciech Jerzy.",Symbiosis of double skin facade and indoor climate installation.,Book_thsis,840397703,9090203214^9789090203218,2006,5131253,,,
recommendation area,TR diss 4627,"Naifar, Fahmi.",A finite volume solver for the simulation of transport processes.,Book_thsis,840397704,9085591422^9789085591429,2006,5131416,,,Bevat CD-Rom
recommendation area,TR diss 4825,"Reza, Muhamed.",Stability analysis of transmission system with high penetration of distributed generation.,Book_thsis,840397753,9162870394^9789162870393,2006,5131677,,,
recommendation area,TR diss 5428,"Vishnudas, Subha.",Sustainable watershed management :illusion or reality? : a case of Kerala State in India.,Book_thsis,840397777,9059721543^9789059721548,2006,5132027,,,
recommendation area,TR diss 5380,"Chapagain, Ashok Kumar.",Globalisation of water :opportunities and threats of virtual water trade.,Book_thsis,840397803,0415409160^9780415409162,2006,5132026,,,
recommendation area,TR diss 5313,"Zhou, Xiaoming.",Measuring the internet.,Book_thsis,840397823,9053351019^9789053351017,2006,5131689,,,
recommendation area,TR diss 5138,"Koleva, Dessislava Atanassova.",Corrosion and protection in reinforced concrete :pulse cathodic protection: an improved cost-effective alternative.,Book_thsis,840398473,9090219242^9789090219240,2007,5131522,,,
recommendation area,TR diss 5166,"Nanu, Marian.",3d-inorganic solid state solar cells.,Book_thsis,840398494,9090205535^9789090205533,2006,5131257,,,
recommendation area,TR diss 6508,"Xu, Min,",Real-time control of combined water quantity & quality in open channels /,Book_thsis,840398826,9065623108^9789065623102,2013,5132082,,,
recommendation area,TR diss 4879,"Soetjahjo, Aloysius Thomas More Judi.","Mathematical analysis of dynamic process models :index, inputs and interconnectivity.",Book_thsis,840398913,9085592550^9789085592556,2006,5131418,,,
recommendation area,TR diss 4962,"Roeselers, Guus.",Microbial ecology of phototrophic biofilms.,Book_thsis,840399039,9090221646^9789090221649,2007,5131874,,,
recommendation area,TR diss 5133,"Tatur, Jana.",Structural and functional studies of the iron storage protein ferritin from Pyrococcus furiosus.,Book_thsis,840399276,9090224327^9789090224329,2007,5131879,,,
recommendation area,TR diss 5147,"Wang, Yan.",A studio based approach for business engineering and mobile services.,Book_thsis,840399466,9056381881^9789056381882,2007,5131795,,,
recommendation area,TR diss 5090,"Hubers, Hans",Collaborative architectural design in virtual reality /,Book_thsis,840399560,9052693609^9789052693606,2008,5132242,,,
recommendation area,TR diss 5169,"Cavallo, Roberto.",Railways in the urban context.,Book_thsis,840399932,9052693617^9789052693613,2008,5132243,,,
recommendation area,TR diss 6501,"Krzeminska, Dominika,",The influence of fissures on landslide hydrology /,Book_thsis,840400149,9065623094^9789065623096,2012,5132081,,,
recommendation area,TR diss 4985,"Serlie, Iwo Willem Oscar.",Electronic cleansing for visualization in CT colonography.,Book_thsis,840400156,9090222529^9789090222523,2007,5131326,,,
recommendation area,TR diss 5495,"Kachris, Christoforos.",Reconfigurable network processing platforms.,Book_thsis,840400267,9080795747^9789080795747,2007,5131697,,,
recommendation area,TR diss 5146,"Tjahjanto, Denny Dharmawan.",Micromechanical modeling and simulations of transformation-induced plasticity in multiphase carbon steels.,Book_thsis,840400400,9090224998^9789090224992,2008,5131419,,,
recommendation area,TR diss 5151,"Schmeitz, Antonius Jacobus Catherinus.",A semi-empirical three-dimensional model of the pneumatic tyre rolling over arbitrarily uneven road surfaces.,Book_thsis,840400435,9090183809^9789090183800,2004,5132146,,,
recommendation area,TR diss 5120,"Vorobyov, Alexander.",Planar elliptically shaped dipole antenna for UWB Impulse Radio.,Book_thsis,840401191,9076928142^9789076928142,2008,5131678,,,
recommendation area,TR diss 5128,"Temudo Ribeiro Ferreira, Margarita Freire.",Directing product information by mixed culture fermentation.,Book_thsis,840401320,9090228616^9789090228617,2008,5131877,,,
recommendation area,TR diss 5181,"Jacobsson, Martin Edvard.",Personal networks :an architecture for self-organized personal wireless communications.,Book_thsis,840401461,909023196X^9789090231969,2008,5131682,,,
recommendation area,TR diss 5174,"Seravalli, Enrica.",A scintillating GEM detector for 2D dose imaging in hadron therapy.,Book_thsis,840401473,1586038834^9781586038830,2008,5131982,,,
recommendation area,TR diss 5190,"Schotman, Hugo Herman Anthony.",Shallow-earth-rheology from glacial isostasy and satellite gravity :a sensitivity analysis for GOCE.,Book_thsis,840401474,9090230971^9789090230979,2008,5131683,,,
recommendation area,TR diss 5127,"Vennemann, Peter.",Particle image velocimetry for microscale blood flow measurement.,Book_thsis,840401631,9090229744^9789090229744,2008,5131328,,,
recommendation area,TR diss 5163,"Elsinga, Gerrit Einte.",Tomographic particle image velocimetry and its application to turbulent boundary layers.,Book_thsis,840401835,9090231587^9789090231587,2008,5131329,,,
recommendation area,TR diss 5194,"Leentvaar, Coenraad Cornelis Willem.",Pricing multi-asset options with sparse grids.,Book_thsis,840401884,9085593824^9789085593829,2008,5131798,,,
recommendation area,TR diss 5186,"Tatzberger, Gabriele.",A global economic integration zone in Central Europe? :Vienna-Bratislava-Györ as a laboratory for EU territorial cohesion policy.,Book_thsis,840401891,3902499028^9783902499028,2008,5131797,,,
recommendation area,TR diss 5188,"Ravazzini, Aldo Maria.",Crossflow ultrafiltration of raw municipal wastewater :investigations using PVDF tubular membranes.,Book_thsis,840401921,9089570047^9789089570048,2008,5132017,,,
recommendation area,TR diss 5112,"Huijser, Jannetje Maria.",Energy transfer dynamics in milecular layers of porphyrin derivatives.,Book_thsis,840402536,906464229X^9789064642296,2008,5131875,,,
recommendation area,TR diss 5265,"Fenicia, Fabrizio.",Understanding catchment behaviour through model concept improvement.,Book_thsis,840402858,9085594308^9789085594307,2008,5132023,,,
recommendation area,TR diss 5232,"Rödel, Johannes Gerhardus.","Ecology, economy and security of supply of the Dutch electricity supply system :a senario based future analysis.",Book_thsis,840402860,9064642915^9789064642913,2008,5131803,,,
recommendation area,TR diss 5231,"Piela, Krzysztof.",Phae inversion in a dispersed oil-water and oil-water-gas flow.,Book_thsis,840402861,9090234411^9789090234410,2008,5132020,,,
recommendation area,TR diss 5251,"Khalili Amiri, Pedram.",Magnetic materials and devices for integrated radio-frequency electronics.,Book_thsis,840402878,9085594189^9789085594185,2008,5131685,,,
recommendation area,TR diss 5223,"Huijssen, Jacobus.",Modeling of nonlinear medical diagnostic ultrasound.,Book_thsis,840402879,9090234624^9789090234625,2008,5131983,,,
recommendation area,TR diss 5264,"Wicaksono, Dedy Hermawan Bagus.",Learning from nature :biologically-inspired sensors.,Book_thsis,840402961,9081331639^9789081331630,2008,5131882,,,
recommendation area,TR diss 5259,"Hagos, Eyassu Tesfamariam.",The effect of aging on binder properties of porous asphalt concrete.,Book_thsis,840402962,908570331X^9789085703310,2008,5132151,,,
recommendation area,TR diss 5306,"Dang, Bao Linh.",Toward seamless networking in indoor environments in millimeter wavebands.,Book_thsis,840403134,9079746010^9789079746019,2008,5131688,,,
recommendation area,TR diss 5220,"Reisen, Josef Lambertus Benjamin van.",A structured approach to heat exchanger network retrofit design.,Book_thsis,840403187,9088910553^9789088910555,2008,5131258,,,
recommendation area,TR diss 5203,"Gillissen, Jurriaan Joris Jasper.",Numerical simulation of fibre-induced drag reduction in turbulent channel flow.,Book_thsis,840403230,9090185607^9789090185606,2008,5131421,,,
recommendation area,TR diss 5227,"Li, Rongchao.",Application of equity principles of IWRM in water allocation in the Yellow River Basin.,Book_thsis,840403365,9085594103^9789085594109,2008,5132019,,,
recommendation area,TR diss 5225,"Wang, Jia.",Synthesis of zeolite composites with hierarchical porosity.,Book_thsis,840403372,9085703069^9789085703068,2008,5131524,,,
recommendation area,TR diss 5254,"Wang, Xinyang.",Noise in sub-micron CMOS image sensors.,Book_thsis,840403397,9081331647^9789081331647,2008,5131331,,,
recommendation area,TR diss 5295,"Roelen, Alfred Lambertus Cornelis.",Causal risk models of air transport :comparison of user needs and model capabilities.,Book_thsis,840403422,1586039334^9781586039332,2008,5131638,,,
recommendation area,TR diss 5274,"Huang, Mingxin.",Modelling plastic deformation of metals using irreversible thermodynamics.,Book_thsis,840403442,9090235426^9789090235424,2008,5131525,,,
recommendation area,TR diss 5217,"Al-Muntasheri, Ghaitan A.",Polymer gels for water control :NMR and CT scan studies.,Book_thsis,840404441,9090232249^9789090232249,2008,5132018,,,
recommendation area,TR diss 5278,"Reijerkerk, Marianne Jacoba.",Aeroelastic model identification of winglet loads from flight test data.,Book_thsis,840404500,9053351663^9789053351666,2008,5132152,,,
recommendation area,TR diss 5234,"Susuzlu, Tolga.",Development and evaluation of ultra high pressure waterjet cutting.,Book_thsis,840404552,9090230750^9789090230757,2008,5132021,,,
recommendation area,TR diss 5253,"Pieters, Bart Elger.",Characterization of thin-film silicon materials and solar cells through numerical modeling.,Book_thsis,840404577,9090235876^9789090235875,2008,5131260,,,
recommendation area,TR diss 5974,"Tesauro, Chiara.","Some aspects of drag reducing flows, a numerical study.",Book_thsis,840404583,9064642516^9789064642517,2008,3870083,,,
recommendation area,TR diss 5289,"Komossa, Susanne.","De transformatie van het Hollandse bouwblok in relatie tot het publieke domein :model, regel en ideaal.",Book_thsis,840404610,9052693676^9789052693675,2008,5132251,,,
recommendation area,TR diss 5423,"Vermeeren, Arnoldus Petrus Otto Sabina.",What's the problem? :studies on identifying usability problems in user tests.,Book_thsis,840404860,9051550510^9789051550511,2009,5131643,,,
recommendation area,TR diss 5249,"Holierhoek, Jessica Gabriëlle.",Aeroelasticity of large wind turbines.,Book_thsis,840405871,9090236279^9789090236278,2008,5131259,,,
recommendation area,TR diss 5275,"Wingerden, Jan-Willem van.",Control of wind turbines with 'smart' rotors :proof of concept and LPV subspace identification.,Book_thsis,840405890,9090235833^9789090235837,2008,5131261,,,
recommendation area,TR diss 5271,"Marengo, Maria Cecilia.",Urban sprawl and spatial planning :facing the challenges of growing social inequity : case study: Córdoba - Argentina.,Book_thsis,840405919,907865810X^9789078658108,2008,5132250,,,
recommendation area,TR diss 5269,"Rodi, Alkistis Paraskevi.",'Creating the creative block' :towards a design tool for urban regeneration.,Book_thsis,840405920,9078658096^9789078658092,2008,5132249,,,
recommendation area,TR diss 5273,"Kennedy, James.",Structures for the displaced :service and identity in refugee settlements.,Book_thsis,840405923,907865807X^9789078658078,2008,5131804,,,
recommendation area,TR diss 5346,"Matijosyte, Inga.",Mechanistic studies of Laccase /,Book_thsis,840405978,9090237666^9789090237664,2008,5131884,,,
recommendation area,TR diss 5324,"Djairam, Dhiradj.",The electrostatic wind energy converter :electrical performance of a high voltage prototype.,Book_thsis,840405984,9085594820^9789085594826,2008,5131263,,,
recommendation area,TR diss 5309,"Kumar, Praveen.",A framework for multi-objective optimization and multi-criteria decision making for design of electrical drives.,Book_thsis,840405986,9090235353^9789090235356,2008,5131807,,,
recommendation area,TR diss 5418,"Ooms, Thomas Adriaan.",Digital holographic particle image velocimetry.,Book_thsis,840405988,9090232737^9789090232737,2008,5131336,,,
recommendation area,TR diss 5336,"Chen, Nong.",Discovery services in information rich environments.,Book_thsis,840406053,9056382047^9789056382049,2008,5131808,,,
recommendation area,TR diss 5350,"Paravento, Fabio.",Numerical simulation of premixed flames interacting with obstacles.,Book_thsis,840406083,9064643156^9789064643156,2009,5131425,,,
recommendation area,TR diss 5341,"Boer, Gerben Jaring de.",On the interaction between tides and stratification in the Rhine region of freshwater influence.,Book_thsis,840406112,9090238484^9789090238487,2008,5132024,,,
recommendation area,TR diss 5362,"Brink, Joost van den.",Dynamic response of saccharomyces cerevisiae to fermentative growth conditions.,Book_thsis,840406191,9090238999^9789090238999,2009,5131886,,,
recommendation area,TR diss 5366,"Markovinovic, Renato.",System-theoretical model reduction for reservoir simulation and optimization.,Book_thsis,840406193,9088910898^9789088910890,2009,5131427,,,
recommendation area,TR diss 5390,"Leeuwen, George van.",Innovation and performance a collection of microdata studies.,Book_thsis,840406197,9085594782^9789085594789,2009,5131642,,,
recommendation area,TR diss 5344,"Dietrich, Heidelinda Regina Christina.",Nanoassays for biomolecular research.,Book_thsis,840406203,9090237941^9789090237947,2009,5131883,,,
recommendation area,TR diss 5369,"Savran, Viktoria Ivanivna.",Austenite formation in C-Mn steel.,Book_thsis,840406223,9077172408^9789077172407,2009,5131528,,,
recommendation area,TR diss 5385,"Levytskyy, Andriy.",Model driven construction and costumization of modeling and simulation web applications.,Book_thsis,840406231,9088910812^9789088910814,2008,5131428,,,
recommendation area,TR diss 5404,"Cuéllar Soares, Maria Claudia.",Towards the integration of fermentation and crystallisation :a study on the production of L-phenylalanine.,Book_thsis,840406232,9071382745^9789071382741,2008,5121619,,,
recommendation area,TR diss 5386,"Vulic, Natasa.",Integration of heterogeneous wireless technologies at the UMTS radio access level.,Book_thsis,840406234,9079746045^9789079746040,2009,5131694,,,
recommendation area,TR diss 5376,"Irahhauten, Zoubir.","Ultra-wideband wireless channel :measurements, analysis and modeling.",Book_thsis,840406278,9076928150^9789076928159,2009,5131692,,,
recommendation area,TR diss 5268,"Molinari, Luca.",Continuità :a response to identify crises Ernesto Nathan Rogers and Italian architectural culture after 1945.,Book_thsis,840406349,8861308678^9788861308671,2008,5132248,,,
recommendation area,TR diss 5317,"Voorden, Arjan Marco van.",Power balancing in autonomous renewable energy systems :the design and construction of a renewable energy laboratory DENlab®.,Book_thsis,840406358,9071287238^9789071287237,2008,5131262,,,
recommendation area,TR diss 5340,"Luzginova, N.V.",Microstructure and transformation kinetics in bainitic steels.,Book_thsis,840406382,9077172416^9789077172414,2008,5131527,,,
recommendation area,TR diss 5321,"Steen, Marc Gerard Daniël.",The fragility of human-centred design.,Book_thsis,840406386,1586039415^9781586039417,2008,5131640,,,
recommendation area,TR diss 5401,"Wei, Wei.",Tuning of Fe and V sites in microporous and mesoporous materials for o2 and N2o induced selective oxidation reactions.,Book_thsis,840406389,9085594499^9789085594499,2008,5121622,,,
recommendation area,TR diss 5323,"López de la Cruz, Juliana Maria.",Numerical strategies for corrosion management :spatial statistics and finite element simulation.,Book_thsis,840406391,9079488313^9789079488315,2008,5131423,,,
recommendation area,TR diss 5337,"Albayrak, Armagan.",Ergonomics in the operating room :transition from open to image-based surgery.,Book_thsis,840406409,9051550502^9789051550504,2008,5131641,,,
recommendation area,TR diss 5387,"Stañková, Katerina.","On Stackelberg and inverse Stackelberg games :their applications in the optimal toll design problem, the energy markets liberalization problem, and in the theory of incentives.",Book_thsis,840406588,9079787035^9789079787036,2009,5131811,,,
recommendation area,TR diss 5377,"Winter, Joost Cornelis Franciscus de.",Advancing simulation-based driver training.,Book_thsis,840406735,9090233474^9789090233475,2009,5132155,,,
recommendation area,TR diss 5395,"Knijnenburg, Theo Arjan.",Inferring the influence of cultivation parameters on transcriptional regulation.,Book_thsis,840406758,9090240136^9789090240138,2009,5131887,,,
recommendation area,TR diss 5425,"Fu, Bingjie.",Traffic engineering and quality service in the internet.,Book_thsis,840406767,9079746061^9789079746064,2009,5131696,,,
recommendation area,TR diss 5419,"Denkova, Antonia Georgieva.","Fundamentals of tri-block copolymere self-assembly in solutions, and its relation to nano-templating.",Book_thsis,840408988,9085702747^9789085702740,2009,5131531,,,
recommendation area,TR diss 5410,"Weustink, Anthonius Petrus Dignum.",Development of a rapid thermoplastic impregnation device.,Book_thsis,840409037,9090226230^9789090226231,2008,5131530,,,
recommendation area,TR diss 5409,"Aboka, Frederick Otieno.",Short term step responses of central carbon and storage metabolism in Saccharomyces cerevisiae :novel minibioreactors and 13C studies.,Book_thsis,840409040,9090237038^9789090237039,2008,5131889,,,
recommendation area,TR diss 5432,"Kleiberg, Teunis Johannis.",Flow-based networking and quality of service.,Book_thsis,840409104,907974607X^9789079746071,2009,5131812,,,
recommendation area,TR diss 5429,"Baluch, Haroon Awais.",Aeroelastic loads modeling for composite aircraft design support.,Book_thsis,840409766,908559507X^9789085595076,2009,5131532,,,
recommendation area,TR diss 5406,"Bouvier, Christophe Pierre.","An exploration towards a more sustainable process for dimethyl naphthalene-2,6-dicarboxylate over acidic zeolites.",Book_thsis,840409771,9090236015^9789090236018,2008,5131888,,,
recommendation area,TR diss 5482,"Schagen, Kim Michael van.",Model-based control of drinking-water treatment plants.,Book_thsis,840409823,908957008X^9789089570086,2009,5132031,,,
recommendation area,TR diss 5489,"Abbott, Derek Alvin.",Lactate tolerance in Saccharomyces cerevisiae.,Book_thsis,840409835,9080969192^9789080969193,2009,5131891,,,
recommendation area,TR diss 5437,"Zakhama, Ramzi.",Multigrid implementation of cellular automata for topology optimisation of continuum structures with design-dependent loads.,Book_thsis,840409882,9090242279^9789090242279,2009,5131890,,,
recommendation area,TR diss 5463,"Basta, Claudia.","Risk, territory and society :challenge for a joint european regulation.",Book_thsis,840409891,9090243429^9789090243429,2009,5131813,,,
recommendation area,TR diss 5471,"Blanson Henkemans, Olivier Anne.",ePartner for self-care :how to enhance ehealth with personal computer assistants.,Book_thsis,840409954,908138113X^9789081381130,2009,5131984,,,
recommendation area,TR diss 5467,"Dalman, Rory Alan Forbes.",Multi-scale simulation of fluvio-deltaic and shallow marine stratigraphy.,Book_thsis,840409956,9085702925^9789085702924,2009,5132030,,,
recommendation area,TR diss 5466,"Zhao, Yi.",Integral pavement /a numerical study.,Book_thsis,840409988,9490284025^9789490284022,2009,5131430,,,
recommendation area,TR diss 5486,"Faria Lopes, Cláudio Saúl.",Damage and failure of non-conventional composite laminates.,Book_thsis,840410044,9090243437^9789090243436,2009,5131534,,,
recommendation area,TR diss 5501,"Piciu, Oana Mihaela.",Periodical nanocavities in thin films for optical bio-molecular detection.,Book_thsis,840410693,9081331655^9789081331654,2009,5131893,,,
recommendation area,TR diss 5441,"Mul, Margaretha Louise.",Understanding hydrological processes in an ungauged catchment in sub-Saharan Africa.,Book_thsis,840410694,0415549566^9780415549561,2009,5132029,,,
recommendation area,TR diss 5453,"Borst, Clark.",Ecological approach to pilot terrain awareness.,Book_thsis,840410730,9053351965^9789053351963,2009,5132159,,,
recommendation area,TR diss 5448,"Ramachandro Rao, Padmakumar.",Charge-transfer CMOS image sensors :device and radiation aspects.,Book_thsis,840410736,9081331663^9789081331661,2009,5131338,,,
recommendation area,TR diss 5494,"López Vázquez, Carlos Manuel.",The competition between polyphosphate-accumulating organisms and glycogen-accumulating organisms :temperature effects and modeling.,Book_thsis,840410780,0415558964^9780415558969,2009,5131892,,,
